"customername","customerkey","gender","yearlyincome","city","country","state"
"Ruben Torres",11002,"M","60000.00","Hobart","Australia","Tasmania"
"Christy Zhu",11003,"F","70000.00","North Ryde","Australia","New South Wales"
"Elizabeth Johnson",11004,"F","80000.00","Wollongong","Australia","New South Wales"
"Julio Ruiz",11005,"M","70000.00","East Brisbane","Australia","Queensland"
"Janet Alvarez",11006,"F","70000.00","Matraville","Australia","New South Wales"
"Marco Mehta",11007,"M","60000.00","Warrnambool","Australia","Victoria"
"Rob Verhoff",11008,"F","60000.00","Bendigo","Australia","Victoria"
"Shannon Carlson",11009,"M","70000.00","Hervey Bay","Australia","Queensland"
"Jacquelyn Suarez",11010,"F","70000.00","East Brisbane","Australia","Queensland"
"Curtis Lu",11011,"M","60000.00","East Brisbane","Australia","Queensland"
"Lauren Walker",11012,"F","100000.00","Bremerton","United States","Washington"
"Ian Jenkins",11013,"M","100000.00","Lebanon","United States","Oregon"
"Sydney Bennett",11014,"F","100000.00","Redmond","United States","Washington"
"Chloe Young",11015,"F","30000.00","Burbank","United States","California"
"Wyatt Hill",11016,"M","30000.00","Imperial Beach","United States","California"
"Shannon Wang",11017,"F","20000.00","Sunbury","Australia","Victoria"
"Clarence Rai",11018,"M","30000.00","Bendigo","Australia","Victoria"
"Luke Lal",11019,"M","40000.00","Langley","Canada","British Columbia"
"Jordan King",11020,"M","40000.00","Metchosin","Canada","British Columbia"
"Destiny Wilson",11021,"F","40000.00","Beaverton","United States","Oregon"
"Ethan Zhang",11022,"M","40000.00","Bellingham","United States","Washington"
"Seth Edwards",11023,"M","40000.00","Bellflower","United States","California"
"Russell Xie",11024,"M","60000.00","Concord","United States","California"
"Alejandro Beck",11025,"M","10000.00","Hawthorne","Australia","Queensland"
"Harold Sai",11026,"M","30000.00","Goulburn","Australia","New South Wales"
"Jessie Zhao",11027,"M","30000.00","Warrnambool","Australia","Victoria"
"Jill Jimenez",11028,"F","30000.00","St. Leonards","Australia","New South Wales"
"Jimmy Moreno",11029,"M","30000.00","Bendigo","Australia","Victoria"
"Bethany Yuan",11030,"F","10000.00","Cloverdale","Australia","South Australia"
"Theresa Ramos",11031,"F","20000.00","Matraville","Australia","New South Wales"
"Denise Stone",11032,"F","20000.00","Melbourne","Australia","Victoria"
"Jaime Nath",11033,"M","20000.00","Milsons Point","Australia","New South Wales"
"Ebony Gonzalez",11034,"F","20000.00","North Sydney","Australia","New South Wales"
"Wendy Dominguez",11035,"F","10000.00","Cranbourne","Australia","Victoria"
"Jennifer Russell",11036,"F","60000.00","National City","United States","California"
"Chloe Garcia",11037,"F","40000.00","Cliffside","Canada","British Columbia"
"Diana Hernandez",11038,"F","10000.00","Lavender Bay","Australia","New South Wales"
"Marc Martin",11039,"M","30000.00","Wollongong","Australia","New South Wales"
"Jesse Murphy",11040,"M","30000.00","Tacoma","United States","Washington"
"Amanda Carter",11041,"F","60000.00","Glendale","United States","California"
"Megan Sanchez",11042,"F","70000.00","Los Angeles","United States","California"
"Nathan Simmons",11043,"M","60000.00","Glendale","United States","California"
"Adam Flores",11044,"M","20000.00","Hervey Bay","Australia","Queensland"
"Leonard Nara",11045,"M","30000.00","Matraville","Australia","New South Wales"
"Christine Yuan",11046,"F","30000.00","Lavender Bay","Australia","New South Wales"
"Jaclyn Lu",11047,"F","30000.00","Geelong","Australia","Victoria"
"Jeremy Powell",11048,"M","30000.00","Sunbury","Australia","Victoria"
"Carol Rai",11049,"F","40000.00","Chula Vista","United States","California"
"Alan Zheng",11050,"M","30000.00","Hobart","Australia","Tasmania"
"Daniel Johnson",11051,"M","30000.00","Caloundra","Australia","Queensland"
"Heidi Lopez",11052,"F","40000.00","Matraville","Australia","New South Wales"
"Ana Price",11053,"F","60000.00","San Diego","United States","California"
"Deanna Munoz",11054,"F","40000.00","Geelong","Australia","Victoria"
"Gilbert Raje",11055,"M","40000.00","East Brisbane","Australia","Queensland"
"Michele Nath",11056,"F","40000.00","Newcastle","Australia","New South Wales"
"Carl Andersen",11057,"M","70000.00","Lane Cove","Australia","New South Wales"
"Marc Diaz",11058,"M","80000.00","Findon","Australia","South Australia"
"Ashlee Andersen",11059,"F","80000.00","Townsville","Australia","Queensland"
"Jon Zhou",11060,"M","80000.00","Warrnambool","Australia","Victoria"
"Todd Gao",11061,"M","80000.00","Gold Coast","Australia","Queensland"
"Noah Powell",11062,"M","40000.00","Portland","United States","Oregon"
"Angela Murphy",11063,"F","40000.00","Redmond","United States","Washington"
"Chase Reed",11064,"M","40000.00","Downey","United States","California"
"Jessica Henderson",11065,"F","60000.00","La Jolla","United States","California"
"Grace Butler",11066,"F","70000.00","Lebanon","United States","Oregon"
"Caleb Carter",11067,"M","60000.00","Port Orchard","United States","Washington"
"Tiffany Liang",11068,"F","80000.00","Warrnambool","Australia","Victoria"
"Carolyn Navarro",11069,"F","80000.00","Gold Coast","Australia","Queensland"
"Willie Raji",11070,"M","80000.00","Sunbury","Australia","Victoria"
"Linda Serrano",11071,"F","80000.00","Hawthorne","Australia","Queensland"
"Casey Luo",11072,"F","80000.00","St. Leonards","Australia","New South Wales"
"Amy Ye",11073,"F","70000.00","Springwood","Australia","New South Wales"
"Levi Arun",11074,"M","70000.00","Cloverdale","Australia","South Australia"
"Felicia Jimenez",11075,"F","80000.00","Bendigo","Australia","Victoria"
"Blake Anderson",11076,"M","80000.00","Wollongong","Australia","New South Wales"
"Leah Ye",11077,"F","80000.00","Melton","Australia","Victoria"
"Gina Martin",11078,"F","40000.00","Cliffside","Canada","British Columbia"
"Donald Gonzalez",11079,"M","160000.00","Geelong","Australia","Victoria"
"Damien Chander",11080,"M","170000.00","Perth","Australia","South Australia"
"Savannah Baker",11081,"F","120000.00","Concord","United States","California"
"Angela Butler",11082,"F","130000.00","Fremont","United States","California"
